cell_line,learning_rate,dropout_rate,num_epochs,pcc,auroc
E122,0.001,0.3,50,0.7205981203736675,0.9012755469199768
E122,0.001,0.3,100,0.7080970293084616,0.8939555969442838
E122,0.001,0.3,150,0.6965375820423352,0.8919778745928024
E122,0.001,0.5,50,0.7249760653741346,0.903403324416046
E122,0.001,0.5,100,0.7171243339209346,0.9027229963519111
E122,0.001,0.5,150,0.6959752150724539,0.8907098167781848
E122,0.001,0.7,50,0.7138346623298912,0.899053320803128
E122,0.001,0.7,100,0.7248091673116049,0.9004751497025121
E122,0.001,0.7,150,0.6993268934265539,0.8924253501616131
E122,0.01,0.3,50,0.7083119802425721,0.8998145534449523
E122,0.01,0.3,100,0.7043123062920753,0.8940225701975627
E122,0.01,0.3,150,0.7188737513884336,0.9017733927026941
E122,0.01,0.5,50,0.7156468208312858,0.9018976839542557
E122,0.01,0.5,100,0.7024215901489494,0.8916805686052679
E122,0.01,0.5,150,0.7010801440473299,0.892532477926535
E122,0.01,0.7,50,0.7105430067139771,0.9001191488265452
E122,0.01,0.7,100,0.6940153828550446,0.8935517484603281
E122,0.01,0.7,150,0.6957989693543789,0.8900475555230916
E122,0.1,0.3,50,0.687442846826334,0.8871993110645845
E122,0.1,0.3,100,0.6804887800332353,0.8766291996253724
E122,0.1,0.3,150,0.6542631932962897,0.868039034375028
E122,0.1,0.5,50,0.6721915613388003,0.8659788961600389
E122,0.1,0.5,100,0.6790303595132408,0.8719758800847311
E122,0.1,0.5,150,0.6487295330925071,0.8541578067510323
E122,0.1,0.7,50,,0.5
E122,0.1,0.7,100,,0.5
E122,0.1,0.7,150,,0.5
